timestamp,price_eur_mwh,charge_mwh,discharge_mwh,soc_mwh
2026-01-01 00:00:00,55,0.0,7.125,42.5
2026-01-01 01:00:00,50,0.0,0.0,42.5
2026-01-01 02:00:00,48,0.0,0.0,42.5
2026-01-01 03:00:00,45,25.0,0.0,66.25
2026-01-01 04:00:00,43,25.0,0.0,90.0
2026-01-01 05:00:00,48,-0.0,0.0,90.0
2026-01-01 06:00:00,65,0.0,1.0000000000000149,88.94736842105262
2026-01-01 07:00:00,80,0.0,25.0,62.63157894736841
2026-01-01 08:00:00,95,0.0,25.0,36.315789473684205
2026-01-01 09:00:00,82,0.0,25.0,10.0
2026-01-01 10:00:00,65,0.0,0.0,10.0
2026-01-01 11:00:00,55,0.0,-0.0,10.0
2026-01-01 12:00:00,42,9.210526315789474,0.0,18.75
2026-01-01 13:00:00,35,25.0,0.0,42.5
2026-01-01 14:00:00,30,25.0,0.0,66.25
2026-01-01 15:00:00,38,25.0,0.0,90.0
2026-01-01 16:00:00,55,0.0,-0.0,90.0
2026-01-01 17:00:00,75,0.0,0.0,90.0
2026-01-01 18:00:00,110,0.0,25.0,63.684210526315795
2026-01-01 19:00:00,125,0.0,25.0,37.36842105263159
2026-01-01 20:00:00,105,0.0,25.0,11.05263157894738
2026-01-01 21:00:00,85,0.0,1.0000000000000115,10.0
2026-01-01 22:00:00,70,17.105263157894736,0.0,26.25
2026-01-01 23:00:00,60,25.0,0.0,50.0
