timestamp,price_eur_mwh
2026-01-01 00:00,55
2026-01-01 01:00,50
2026-01-01 02:00,48
2026-01-01 03:00,45
2026-01-01 04:00,43
2026-01-01 05:00,48
2026-01-01 06:00,65
2026-01-01 07:00,80
2026-01-01 08:00,95
2026-01-01 09:00,82
2026-01-01 10:00,65
2026-01-01 11:00,55
2026-01-01 12:00,42
2026-01-01 13:00,35
2026-01-01 14:00,30
2026-01-01 15:00,38
2026-01-01 16:00,55
2026-01-01 17:00,75
2026-01-01 18:00,110
2026-01-01 19:00,125
2026-01-01 20:00,105
2026-01-01 21:00,85
2026-01-01 22:00,70
2026-01-01 23:00,60
